Name_A2;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
Cape Verde;349112;388461;445936;506145;563483;615460;661131;701023;735461;761489;782000;796444;806065;855803;901717;942917;978527;1006765;1027531;1039981;1047390;1049010;1045011
Central African Republic;3012716;3429659;3888219;4315903;4792686;5287990;5803836;6313295;6779838;7169237;7510499;7826867;8158121;8549267;8884628;9159751;9368707;9501504;9554659;9525625;9462098;9355258;9206426
Chad;5963334;6903575;8259990;9732919;11395244;13233211;15190811;17240520;19327552;21349843;23370614;25204835;26726797;27859617;28795063;29522214;30027822;30288290;30293099;30029671;29668236;29195027;28617718
Comoros;538875;623251;737339;868817;1007534;1145369;1278572;1403803;1516952;1607888;1690647;1771020;1845581;1943556;2029491;2102841;2161341;2202873;2226407;2230882;2226111;2210127;2183120
Republic of the Congo;2281921;2667598;3161779;3717609;4350640;5046649;5796488;6588318;7392080;8166262;8941714;9658704;10270313;10706389;11067269;11348916;11546347;11649667;11654990;11557587;11423364;11245937;11027479
Côte d'Ivoire;12872201;14727249;16711850;18867260;21058485;23132952;25019416;26619438;27849110;28821933;29861356;30836191;31698560;33364165;34827366;36071053;37059199;37755355;38143962;38206077;38104533;37814662;37353082
Democratic Republic of the Congo;37853842;45950300;53381953;63730981;75981175;89863654;104978490;120986453;137429727;153450361;169574250;184338502;196778280;204860310;211465613;216534608;219963561;221582283;221328950;219107153;216205254;212527145;208123092
Djibouti;515295;559150;660512;711942;735063;763476;809470;861171;912303;956454;998005;1032834;1067689;1113398;1151198;1180590;1200969;1211008;1210764;1200175;1185505;1166002;1141940
Equatorial Guinea;359828;409602;478345;556618;645907;741668;839915;938671;1034931;1123422;1206396;1275408;1338217;1400403;1453261;1496022;1527777;1547359;1554088;1547179;1534447;1514870;1489080
Eritrea;3174835;3267437;3825409;4808345;5471369;6138374;6806494;7452820;8037840;8524132;8939158;9314484;9704373;10183239;10598011;10941961;11207574;11384593;11467393;11450945;11390728;11276780;11110702
Ethiopia;48606513;56761608;65830369;75052816;85039699;95840967;107247644;119101095;130894641;142238319;154313530;166243742;177286152;184697565;190800165;195520625;198775898;200404486;200343111;198514736;196127268;193035663;189253366
Gabon;956605;1106434;1289673;1475870;1676391;1887766;2099412;2307033;2502370;2670337;2815688;2949445;3091341;3239518;3366895;3471325;3550860;3602578;3624504;3614894;3591993;3552252;3496267
Gambia;949642;1143606;1362253;1562646;1748171;1917329;2071299;2205989;2310467;2378481;2436115;2494557;2550214;2685688;2804957;2906105;2987043;3044765;3077473;3083861;3077680;3056402;3019823
Ghana;15488044;17703860;20141663;23065018;26011143;28827762;31402787;33577417;35269558;36636286;38044588;39301256;40328070;42572931;44568824;46296673;47708716;48759915;49417083;49654122;49667121;49429967;48951849
Guinea;6280854;7510096;8530734;9359302;10747259;12136915;13535897;14897685;16179573;17308269;18330465;19163151;19909237;20879069;21711443;22398099;22922538;23260992;23406735;23349699;23201096;22942739;22583891
Guinea-Bissau;968007;1104873;1255680;1431856;1631644;1844664;2063007;2282392;2497217;2693048;2878164;3032758;3175496;3318373;3438673;3534770;3604704;3645465;3655713;3633889;3599170;3548956;3484703
Kenya;24118529;27930894;31987324;36107493;40164970;43767425;46792034;49088195;50927462;52566687;54152516;55528339;56756329;59728850;62348575;64562933;66319522;67563369;68265654;68391063;68218511;67706370;66892196
Lesotho;1720715;1915522;2125415;2251882;2295281;2319972;2355789;2394088;2418662;2421361;2430269;2458876;2502774;2625759;2731613;2819225;2886405;2930436;2950285;2945120;2928838;2898855;2854818
Liberia;2193355;2087938;3048991;4075553;4999172;5931653;6921039;8020106;9198441;10379657;11583225;12730684;13761166;14312411;14761472;15108149;15340895;15445673;15421771;15266930;15068828;14809280;14496809
