YY	MM	DD	HH	"1"	"2"
routed discharge [mm per subbasi] routing_model
2002	 1	31	24	9.14696	9.01523
2002	 2	 1	24	8.11458	8.95000
2002	 2	 2	24	7.90543	9.83225
2002	 2	 3	24	7.37107	10.16352
2002	 2	 4	24	6.83096	10.17661
2002	 2	 5	24	6.62066	10.55800
2002	 2	 6	24	6.39064	10.95237
2002	 2	 7	24	5.90238	10.38801
2002	 2	 8	24	5.22974	9.10900
2002	 2	 9	24	5.66419	9.53597
2002	 2	10	24	6.19546	11.08209
2002	 2	11	24	5.93249	10.29461
2002	 2	12	24	8.73702	13.38189
2002	 2	13	24	9.30326	16.26624
2002	 2	14	24	7.62245	12.11909
2002	 2	15	24	6.00588	9.17047
2002	 2	16	24	4.90861	7.29865
2002	 2	17	24	4.06977	5.96821
2002	 2	18	24	3.42852	4.96029
2002	 2	19	24	3.05753	4.20588
2002	 2	20	24	3.63844	3.65056
2002	 2	21	24	3.35482	3.71591
2002	 2	22	24	3.52537	3.26695
2002	 2	23	24	3.99677	2.90284
2002	 2	24	24	3.90564	2.75201
2002	 2	25	24	4.18354	2.47641
2002	 2	26	24	5.02455	2.26212
2002	 2	27	24	5.96128	2.58637
2002	 2	28	24	6.07277	3.02747
2002	 3	 1	24	5.75586	3.11522
2002	 3	 2	24	4.96252	3.01853
2002	 3	 3	24	4.24348	2.70916
2002	 3	 4	24	3.71588	2.44773
2002	 3	 5	24	3.43472	2.40667
2002	 3	 6	24	3.41268	2.93914
2002	 3	 7	24	3.63847	4.18818
2002	 3	 8	24	3.70876	5.01618
2002	 3	 9	24	3.61101	5.29731
2002	 3	10	24	3.41174	5.22301
2002	 3	11	24	3.08289	4.65194
2002	 3	12	24	2.72190	4.01612
2002	 3	13	24	2.40485	3.45778
2002	 3	14	24	2.15344	3.00317
2002	 3	15	24	1.94587	2.63934
2002	 3	16	24	1.78099	2.34437
2002	 3	17	24	1.64199	2.10579
2002	 3	18	24	1.52724	1.91056
2002	 3	19	24	1.43555	1.74870
2002	 3	20	24	1.37505	1.64987
2002	 3	21	24	1.40745	1.80947
2002	 3	22	24	1.53286	1.77036
2002	 3	23	24	1.88757	1.89030
2002	 3	24	24	1.96620	1.76488
2002	 3	25	24	1.81019	1.64146
2002	 3	26	24	1.65998	1.52787
2002	 3	27	24	1.62521	1.42873
2002	 3	28	24	1.89322	1.34161
2002	 3	29	24	2.10324	1.55763
2002	 3	30	24	2.39820	2.88639
2002	 3	31	24	2.46018	3.37486
2002	 4	 1	24	2.28093	3.11638
2002	 4	 2	24	2.04052	2.78155
2002	 4	 3	24	1.83078	2.46089
2002	 4	 4	24	1.65604	2.20248
2002	 4	 5	24	1.51799	1.99937
2002	 4	 6	24	1.40885	1.83122
2002	 4	 7	24	1.31456	1.68427
2002	 4	 8	24	1.23309	1.55487
2002	 4	 9	24	1.16234	1.44191
2002	 4	10	24	1.10257	1.34508
2002	 4	11	24	1.04936	1.26138
2002	 4	12	24	1.00286	1.18847
2002	 4	13	24	0.96275	1.12455
2002	 4	14	24	1.23081	1.08473
2002	 4	15	24	1.64284	1.49105
2002	 4	16	24	1.59002	1.59236
2002	 4	17	24	1.47039	1.54292
2002	 4	18	24	1.35441	1.46556
2002	 4	19	24	1.25480	1.38365
2002	 4	20	24	1.17237	1.31328
2002	 4	21	24	1.10211	1.24867
2002	 4	22	24	1.04188	1.18679
2002	 4	23	24	0.99026	1.12891
2002	 4	24	24	0.94393	1.07319
2002	 4	25	24	0.90287	1.02257
2002	 4	26	24	0.86847	0.97683
2002	 4	27	24	0.85625	0.98359
2002	 4	28	24	0.83550	0.94391
2002	 4	29	24	0.80764	0.90577
2002	 4	30	24	0.78205	0.87105
2002	 5	 1	24	0.75840	0.83865
2002	 5	 2	24	0.73649	0.80875
2002	 5	 3	24	0.71626	0.78120
2002	 5	 4	24	0.69747	0.75531
2002	 5	 5	24	0.87687	0.73124
2002	 5	 6	24	1.03114	0.89309
2002	 5	 7	24	1.00519	0.97570
2002	 5	 8	24	0.95409	0.95692
2002	 5	 9	24	0.89762	0.92724
2002	 5	10	24	0.84836	0.89413
2002	 5	11	24	0.80619	0.86332
2002	 5	12	24	0.77340	0.83584
2002	 5	13	24	0.74489	0.81013
2002	 5	14	24	0.71738	0.78439
2002	 5	15	24	0.69257	0.75759
2002	 5	16	24	0.66965	0.73219
2002	 5	17	24	0.64887	0.70858
2002	 5	18	24	0.63005	0.68662
2002	 5	19	24	0.61287	0.66612
2002	 5	20	24	0.59851	0.64768
2002	 5	21	24	0.58420	0.62954
2002	 5	22	24	0.57043	0.61246
2002	 5	23	24	0.55794	0.59633
2002	 5	24	24	0.55455	0.59493
2002	 5	25	24	0.59342	0.57995
2002	 5	26	24	0.59872	0.63146
2002	 5	27	24	0.60132	0.62767
2002	 5	28	24	0.58775	0.61754
2002	 5	29	24	0.57262	0.60467
2002	 5	30	24	0.55762	0.59034
2002	 5	31	24	0.54335	0.57556
2002	 6	 1	24	0.53009	0.56139
2002	 6	 2	24	0.51788	0.54789
2002	 6	 3	24	0.50676	0.53500
2002	 6	 4	24	0.49619	0.52267
2002	 6	 5	24	0.48626	0.51085
2002	 6	 6	24	0.47810	0.50042
2002	 6	 7	24	2.57856	1.29118
2002	 6	 8	24	3.61912	2.52638
2002	 6	 9	24	2.63883	2.14715
2002	 6	10	24	2.02620	1.82693
2002	 6	11	24	1.65186	1.63591
2002	 6	12	24	1.39457	1.45369
2002	 6	13	24	1.38610	1.47207
2002	 6	14	24	1.24761	1.39889
2002	 6	15	24	1.17762	1.31065
2002	 6	16	24	1.06521	1.23440
2002	 6	17	24	0.97425	1.16056
